SITE_GUBUN,PART_GROUP_ID,PART_SUB_ID,PART_ID,KEYWORD_GUBUN,KEYWORD_POSITIVE,RLT_VALUE_01,RLT_VALUE_02,RLT_VALUE_03,RLT_VALUE_04,RLT_VALUE_05,RLT_VALUE_06,RLT_VALUE_07,RLT_VALUE_08,RLT_VALUE_09,RLT_VALUE_10
G,P02,S25,152457,0,P,촉촉하고,올인원,진정,보습,산뜻,2.59,2.15,1.33,1.14,0.85
G,P02,S25,152457,1,P,진짜 스킨 에센스 크림 등 필요없이 이것만 발라도 될 정도로 촉촉하고 보습이 잘 됨,최소한의 보습과 적당한 수분을 채워줘서 간편하고 산뜻한 마무리감을 주는게 마음에 들었고 티트리향이 물씬 나서 정말 진정이 되겠군 싶을 정도에요,그래서 홍조라던지 살짝 얼굴이 달아오를 때 피부가 진정되는 느낌이 살짝 들었어요,올인원 제품답게 세수하고 이거 하나만 발라도 건조함이 싹 가시면서 하루종일 촉촉함이 유지된다,,,,,,
G,P04,S09,152492,0,P,세럼,촉촉,브이,발라도,얼굴에,5.04,2.68,2.58,2.22,2.0
G,P04,S09,152492,1,P,촉촉함이 유지되고 1일 ㅣ팩입니다,팩을 꺼내고 보호 필름에 있는 세럼을 팔에 촉촉하게 바르고도 남습니다,차가운 날씨와 사무실 안의 히터 마스크안의 습한 상태로 피부가 건조해지고 더 예민해져 있었는데 이 팩 덕분에 수분 충전과 진정되는 느낌을 받아 만족 스러웠어요,쓰레기는 더 나오지만 전반적으로 묵직한데 앰플이 듬뿍 들어있어서 사용 후 남은걸로 목과 바디 등 여기저기 사용해도 될 정도입니다,그래서 얼굴에 올려 팩을 하는 동안 무게가 있는 듯한 느낌을 받아서인지 보습감이 진짜 좋았다시간이 지나도 시트지가 마르지 않았음탄력에도 효과가 있는지는 좀 오래 써봐야 알것같긴하다,,,,,
G,P04,S09,152492,0,N,효과,각질제거,촉촉,마스크팩,,1.16,0.85,0.71,0.32,
G,P04,S09,152492,1,N,다만 보호 필름이 있어서 팩이 잘 펴지긴 하나쓰레기를 만들어서 환경에는 안좋을 것 같아요 ㅠ,보습물 같은 마스크팩들은 팩하고 나서 건조하기도 한데 이 제품은 촉촉했어요,탄력 제품이라고 너무 유분에만 집중된 게 아니고 유수분밸런스가 잘 맞춰져 있는 느낌이었어요속은 촉촉 밖은 쫀쫀한 느낌미백이 제품 쓰고 한 이틀 삼일 정도 얼굴이 환했어요,그리고 촉촉해서 좋긴 한데 흡수가 그렇게 빠르지는 않았어요,에센스가 이렇게 많이 들어있는 마스크팩은 처음이에용,,,,,
G,P02,S25,2361,0,P,향이,민감,촉촉,끈적임,산뜻,2.51,1.43,1.06,1.05,1.03
G,P02,S25,2361,1,P,독하지도 않고 여남구분없는 상쾌한 향수분크림인데 직구해야하는게 너무 싫지만쓰다보면 불독만 쓰게됩니다,향은 그린티 알콜향이 막 강한 남자스킨케어제품이 많은데 그 정도 아니고 첨에만 그린티향 나중엔 은은해져요,그리고 드럭스토어에서 11일때나 50 한번씩 할때 쟁여놓고 사용하는 제품 입니다,남편쓰라고 올리브영에서 사줬는데저보다 더 예민한 남편피부에도 잘 맞고촉촉하다고 스킨케어잘안하던 사람이 잘 챙겨바르는 모습에 뿌듯했네요,유분은 거의 안느껴지고 수분만 채워줘서 좋아요,,,,,
G,P02,S25,2361,0,N,남친,수분크림,,,,3.61,1.3,,,
G,P02,S25,2361,1,N,남친이 하도 피부관리를 안해서 ㅠ피부관리하라고 같이 골라준 제품인데스킨케어 찹찹해주고 발라주면 엄청 피부가 촉촉탱글해져요,나중에 남친 수분크림 다쓰면 이거 사줄거임 ㅇㅇ,물론 이것 때문은 아니고 음 네 여드름이 나는데 다시 안가라앉습니다,남동생이 쓰고 있는 올인원에센스 다 써서 사줬다 겨울이니까 더 강력한 보습이 필요할 것 같아서 요 아이로 골라봄 동생이 화장품 끈적이는거 극혐해서 끈적이고 그랬으면 절대 안 발랐을 텐데 별말 안 하고 잘 바르는 거 보니 괜찮은가보다,올영서 선물로 사줬더니 남친 이것4개째 사용중이네요,,,,,
G,P02,S10,110602,0,P,자연스럽게,입술,동생,남자친구,립밤,2.36,2.31,1.81,1.6,1.3
G,P02,S10,110602,1,P,사용해봤는데 발색이 자연스럽게 너무 잘되고 보습도 뛰어나서 너무 좋아요,립안바르면 완젼 병원 환자 st되는 타입인데 너무 보기싫어서 입술 생기올려주는 립밤 찾다가 추천받은 템 자연스러운 혈색을 지켜주니 좋고 립밤이라고 하고 바르면되고 은근 촉촉하고 잘 안물러서 가격대비 오래썼음,선물하고 저도 한번 씩 쓰는데 보습력도 나쁘지않고 색도 있어서 저한테도 좋았어요,일단 제품 내구성 좋고 립밤 잘 말려 올라오고케이스 디자인도 이뻐요 약간만 혈색을 줄 수 있게 가로로 한 줄 붉은 빛 립이 있는 것도 상당히 새롭구요,진하지 않고 적당히 혈색만 도는 립밤을 찾고 있었는데 이건 디자인도 이쁘고 주머니에 넣고 다녀도 녹지 않아요,,,,,
G,P02,S10,110602,1,N,발색은 좋은데 보습이 많이 아쉽습니다 ㅠㅠㅠ,남자 발색립밤중 이거만한게 없습니다,남자친구 선물해줬는데 제가 보기엔 발색이 괜찮았는데 남친은 너무 빨가게 된다고 하더라고요ㅠㅠ 보습력은 그렇게 엄청 좋지는 않은듯 계속 발라줘서 금방 쓰더라고요ㅠㅜ 그래도 딴 제품들에 비해 괜춘한거 같아요,,,,,,,
G,P02,S10,133443,0,P,발색,컬러,,,,1.3,1.04,,,
G,P02,S10,133443,1,P,장점발색이 은은해서 남자 팔레트 답게자연스러워서 좋아요버릴 색이 없다,,,,,,,,,
G,P02,S10,133443,0,N,남자,여자,발색,가루,팔레트,1.57,1.01,0.98,0.63,0.6
