SITE_GUBUN,PART_GROUP_ID,PART_SUB_ID,PART_ID,REVIEW_DOC_NO,REVIEW,DOC_PART_NO
G,P12,S49,122994,RVD-220316-0201199,정말 간편하게 믹스해서 사용할 수 있어서 편한거같아요,1
G,P12,S49,122994,RVD-220316-0201199,색도 잘 나오고 좋습니다,0
G,P12,S40,93795,RVD-220316-0201193,로레알에서 나온 헤어오일 로레알 엑스트라 오디너리 오일은 다양한 기능을 담당하는 기능성 헤어오일이라고 해서 구매했습니다,0
G,P12,S40,93795,RVD-220316-0201193,일반적인 헤어오일과 달리 마법의 만능오일이라고 할만큼 티아레 꽃 오일 장미오일 연꽃오일 아마씨오일 데이지 꽃 오일 카모마일 오일 등이 들어 있어서 인위적으로 머릿결에 영양을 공급하기 보다는 자연친화적인 요소로 머릿결에 영양을 주는 느낌입니다,1
G,P12,S40,93795,RVD-220316-0201193,미용실에 가기 어려운 요즘 셀프 헤어관리가 대세인데 이 제품은 자연친화적인 오일로 다양한 성분을 갖춰서 매우 만족했습니다,0
G,P12,S40,93795,RVD-220316-0201193,펌핑형 제품이라 위생적이며 색도 매우 오묘해서 화장대에서 눈에 띄여서 자주 사용하게 됩니다 한소희의 우아한 얼굴때문에 구입했지만 나중에는 색을 보고 더욱 찾게 되었습니다,2
G,P12,S40,93795,RVD-220316-0201193,젖은 머리에 사용하고 있습니다,0
G,P12,S40,119285,RVD-220316-0201186,음 뿌리는 애보다 난 이게 나았음,0
G,P12,S40,119285,RVD-220316-0201186,향은 좀 진한 파우더 향이 나는데 크게 거슬리징 않음바짝 말린 머리에 소량 덜어서 손바닥으로 펴준 뒤 머리카락에 슥슥 발라주면 부시시한게 많이 정돈됨그렇다고 이걸로 머릿결이 좋아지는건 아니지만 그래도 덜 상해보임 리치한 오일이라 양 조절은 필수,1
G,P12,S40,1415,RVD-220316-0201182,극손상모장단점 나누는 거 좋아하는 데이 제품 명성에 비해 저는 진짜 효과를 잘 모르겠어요물론 바르면 좋긴 해요좋아지는 게 아니라 그때만 그래보여요일시적인 효과를 위해 사기에는 너무 용량 대비 가격이 셈전 그냥 오일을 쓰겠다는,1
