SITE_GUBUN,PART_GROUP_ID,PART_SUB_ID,PART_ID,KEYWORD_GUBUN,KEYWORD_POSITIVE,RLT_VALUE_01,RLT_VALUE_02,RLT_VALUE_03,RLT_VALUE_04,RLT_VALUE_05,RLT_VALUE_06,RLT_VALUE_07,RLT_VALUE_08,RLT_VALUE_09,RLT_VALUE_10
G,P10,S02,125434,0,P,좋아,좋았어요,바르면,촉촉,향이,2.39,2.05,1.97,1.9,1.72
G,P10,S02,125434,1,P,발림성이 굉장히 좋았고요 제형도 약간의 노랑노랑한 색깔을 가지고 있어 얼굴에 바를 때도 상콤한 기분이 같이 들었답니당 하지만 처음에 말했던 굉장히 많이 터있는 입술 주변을 바를 땐 잠깐 좀 따가웠으나 그 이후에는 괜찮았어용 트러블이 더 올라온다거나 그런 건 전혀 없었고용제품을 받고나서 약 1주일정도 나이트케어로 꾸준히 썼는데요,평가단 일주일 후기케이스가 너무 예쁘고 무엇보다 펌핑식이라 깔끔하고 편하게 쓸 수 있어서 첫인상부터 좋았어요뚜껑 돌려서 손등에 털어쓰는 제품들은 너무 불편무거운 제형 싫어서 로션보다 앰플이나 세럼 에센스를 즐겨쓰는데 잇퍼로션은 되게 묽은 편이에요그래서인지 발림성 흡수력 입니다,우선 이 제품은 일반적인 로션과 비슷한 점도라 이질감이 없었고 다음날 일어나서 세수한 뒤 피부가 촉촉한 것을 보아 제 기준에는 좋은 제품이었습니다,모르는 브랜드여서 걱정됐는데바르자마자 향이 너무 좋아서 1차적으로 기분이 넘 좋았어요,향도 괜찮구 제형도 바르면 산뜻하게 흡수되어 좋아요단독으로 바르면 겨울철이라 건조할 듯 싶어 크림이랑 같이 바르면 들뜸없이 사용할 수 있어요,,,,,
G,P10,S02,125434,0,N,유분,수분,여드름,보습,,1.28,1.15,1.02,0.88,
G,P10,S02,125434,1,N,2주 사용 후기주름 미백 개선 기능도 있다하지만 사실 잘 모르겠어요근데 확실히 트러블도 나지 않고 제품 자체가 전체적으로 하드하고 유분이 좀 있는거 같아서 지성인 저한텐 너무 무겁게 느껴졌고 시간이 지날 수록 완전 번들번들 해졌습니다하지만 이걸 바르는 순간 피부가 되게 쫀쫀해지는 느낌도 들고 화장도 더 잘 먹는 느낌도 있었네요향이 호불호가 확실할 거 같았습니다,당연히로션이니까 대신 유분기가 너무 많아서 끈적거리지도 않구요,근데 이게 뭐 미끄덩거리거나 끈적거리는 그런느낌이 전혀아니고 스킨여러번 덧발랏을때 보습막이 생긴 그런느낌이에요총평계절 피부타입 상관없이 트러블만 안난다면 크림전단계에 수분 보습 보충제로 사용하기에 적합할듯 가격과 용량도 합리적 재구매의사O,다시 발라봐도 똑같이 여드름 났어요ㅠㅠ 저만 그런건가 해서 다른 사람한테 발라보라고 하니 진짜 트러블성 아닌 분도 나더라구요ㅠㅠㅠ조금 아쉽네요,결론  끈적임이 싫으신 분들께 강추,,,,,
G,P10,S02,67457,0,P,플루이드,라포티셀,제형,촉촉,향이,2.23,1.87,1.6,1.59,1.48
G,P10,S02,67457,1,P,그래도 효과는 나쁘지 않아요,제가 쓴 기초화장품 중 가장 좋다고 해도 과언이 아니예요일단유수분밸런스를 잘 맞춰줘요,와 이거 뭐임 물건이네참고로 저는 복합성수부지 민감성 트러블 피부를 가지고 있습니다,냄새도 독하지 않은 게 순한 제품이 컨셉이다 싶었어요,피부가 워낙 건성이라 환절기만 다가오면당기고 트는 피부로 인해 고민이 많았는데속건조까지 촉촉하게 채워주는 제품이었습니다에센스와 로션 타입의 중간의 제형으로?수분감이 많은 밀크로션 같이 느껴졌어요향기는 상큼하고 부드러운 향기가 은은하게 느껴지고피부를 따라 쪼로록 흘러내리는 묽은 타입의 플루이드 제형이라가볍고 산뜻하게 발려서 끈적임도 없고 흡수가 빠른편이었는데도바르고 나면 은은한 윤광이 돌면서적당한 유분감이 느껴져서피부가 부드럽고 매끈하게 케어가 가능했어요,,,,,
G,P10,S02,67457,0,N,트러블이,건조,그래,촉촉하,보습,2.45,1.37,1.28,1.03,0.98
G,P10,S02,67457,1,N,유분이 살짝 많다고 느껴질 수 있는데 그렇다고 트러블이 올라오는 건 아니라서 괜찮습니다,써보는데 수분 세럼과 별 차이가 없다고 느껴졌어요ㅜ 그냥 가성비 좋은 세럼 쓰는 게 더 이득인 느낌,지성피부에요저에게는 에탄올 성분이 안맞았는지피부가 매우 건조해지고 약간 좁쌀이 났었어요각질도 많이 생기구요울긋불긋 피부결이 거칠어지고 간지러웠어요다만 세라마이드 성분이 들어가서 그런지 여드름 압출하고나서 굉장히 빠르고 깨끗하게 아물었어요로션이랑 섞어쓰니 건조한게 덜하긴했지만 저에겐 너무 건조한제품이었네요아쉽습니당,화끈거리거나 아프진않아서 그냥 모기물렸나싶었는데 다음날도 그다음날도 로션사용한 날부터 계속 얼굴에 뽈록뽈록 올라오구여름이라 내 피부가 예민한거인지 계속 트러블이 올라와서 몇일동안 손이안가다가 그래도 평가단리뷰 작성해야해서 아침에만 간단히 발랐는데 한 일주일지나고나서부터는 트러블이 안났는데 그래도 쓰면 트러블 날거같아서 손은 잘 안가요,찬바람만 불면 피부가 겉촉속바가 되는 편이라서 속보습에 엄청 신경쓰고 있어요,,,,,
G,P10,S02,99955,0,P,여름에,가볍게,발라도,여드름,산뜻,1.93,1.72,1.45,1.39,1.19
G,P10,S02,99955,1,P,제 취향은 아니라 재구매는 안 했습니다,조금 더 보습이 잘되면 진짜 너무좋을듯합니다,지성인데도 너무 물같아서 여러번 바르게되는 제품 색깔은 허연데 효과는 투명한 수딩크림 같아요,그리고 여드름진정에 좋았어요,지성이나 트러블피부가 좋아할 텍스처에요촉촉하면서 발림도 좋아요,,,,,
G,P10,S02,99955,0,N,트러블,유분이,건성,가격,촉촉,1.54,1.41,1.12,0.95,0.94
G,P10,S02,99955,1,N,촉촉하고 유분기가 없는 로션이라 너무 맘에 들엇어용,유분이 너무 많았습니다,피부가 붉게 올라왔을때 듬뿍바르고 자면 다음날 세수할때 가라앉고 진정되어있어요,트러블에 효과있는지도 잘모르겠음,제 피부에는 아주 안 맞아서 이 크림을 바르고 자면 트러블이 올라옵니다,,,,,
G,P12,S03,132047,0,P,향이,린스,좋아,머릿결,,2.71,1.98,1.24,0.83,
G,P12,S03,132047,1,P,향이 너무 좋아요샴푸도 샴푸지만 샴푸 이후에 사용하는 이 린스가 더해지면서 나는 향이 최고,저렴한 맛에쓰지만 향기는 그렇지 않은 린스 다음엔 린스력이 더 강해지면 좋겠네요,매일 트리트먼트를 하는 사람으로서 린스에 큰 기능성을 기대하지 않고 사는 사람이기 때문에 린스는 대충 있는걸로 사용하는 편인데 사용 후 머릿결이나 찰랑임도 그럭저럭 만족스러웠고 샴푸로도 만족하고 사용한 케라시스 답게 향이 좋아서 좋았음,다만 린스의용도인 부드러운머릿결을 만드는 데는 조금 부족한감이 있는 것 같아요,향이 너무 강해서 부담스럽다도 하는데 비염이라그런가 잘 못느낌 지속력은 모르겠고 그냥 머리감을 때 기분이 좋았습니다,,,,,
G,P12,S03,132047,0,N,향이,,,,,1.0,,,,
G,P12,S03,132047,1,N,타사 비슷한 포지션의 컨디셔너 제품보다 엉킨 머리카락을 잘 풀어준다고 느껴서 그 점은 좋았는데 향이 많이 강하고 더군다나 제 취향의 향이 아니어서 그점에서 마이너스였어요,지성두피인데 이제품쓰면 세상간지러워요그리고 금방 떡이 지네요ㅠ 너무 향이 인위적이고 린스효과가 없어요ㅠ 금방 기름지고 떡지니까 사용감이 별로였어요 ㅠ,향이 날뿐이지 효과는그닥이네요선물용으로 많이 들어오는데 제품력은 별로였습니다,냄새가 랑방 메리미 향이라고 하더라고요 꽃파우더 저는 머리카락이 허리까지 있어서 이거 두 번 짜서 모발에 발라주는데 머리카락이 부들부들해져요,향은 엄청 사랑스럽고 로맨틱한 꽃향이 강하게 나서 좋은데 튜브형이라 그런지 아무리 여러 번 짜도 안 나온다펌핑이 더럽게 안돼서 그 점만 빼면 샴푸와 같이 쓸 때 향이 더 좋아져서 가성비가 좋은듯,,,,,
G,P12,S03,145069,0,P,향도,좋아,머릿결,좋았어요,컨디셔너,3.13,2.91,2.75,2.48,1.93
G,P12,S03,145069,1,P,향도 너무 진하지않고 자극없는 제품이라서 머리감고 나면 너무 기분이 좋아집니다,지속적으로 사용하면 더더욱 좋을것같습니다,향도 레몬라임향인데 라임이 조금 더 강한 듯 상큼해서 너무 좋음앞으로 데일리케어로 꾸준히 쓸 듯사용할수록 두피케어도 같이 할수있는게 신의 한수임이런 제품들 요즘 시중에 많이 나오는데 이건 거기에 편리함까지 더해져서 계속 손이감,근데 워터 타입이라 추우면 어는데 알갱이가 입구를 막아서 잘 안 나올 때가 있어서 그건 좀 불편해요,머리카락을 윤기나고 부드럽게 만들어줘요,,,,,
G,P12,S03,145069,0,N,머릿결이,탈모,컨디셔너,모발에,트러블,1.38,1.27,1.18,1.02,0.94
G,P12,S03,145069,1,N,두피는 제가 민감한편이라 좀 가려웠어요모발에 쓰기에 좋은거같아요,헤어당첨되서 써봤습니다감샤하므니다처음에는 투명색이었는데 시간지나니 날이 추워서 그런지 불투명색으로 변했어요바를때 약간 시원한 느낌나고 향이 자몽 오렌지향 옅게납니다향이 시트러스한 향이라 기분이좋아요드라이하면 향은 날라가고없는데 머릿결이 미역같아집니다부들부들해요그렇다고 두피가 기름져지지는 않아요가격빼고는 완벽합니다,근데 이거 진짜 물건임ㅠㅠ 머릿결에 도포하고 비벼주면 액체에서 크림으로 제형이 변하는데 그 상태로 한 오분정도 두고 씻으면 머리카락 다시 태어나는 기분 진짜 너무너무너무 부드러움이 제품으로 귀차니즘시간절약해서 너무 좋음여기서 2차감동평소에는 두피에서부터 쭉 짜줘서 두피케어 1차로하고 2차로 머리카락 도포해주면 따로 두피관리 안해줘도된다 이말이지방금도 이걸로 머리 감았는데 아직도 시원함 하너무 좋다재구매각인데 한통 금방 비울거같아서 검색해보니까 네이버최저가 2만원초반대임이 가격에 이 기능이면 정말 만족함,이 제품은 두피강화 탈모케어 컨디셔너 인데요타 두피케어 제품보다 더 부드럽게 씻겨 내려 가는 느낌이였구요,셀프 두피 크리닉하는 기분,,,,,
G,P12,S03,66941,0,P,향이,향기,좋다,머릿,냄새,2.92,1.54,0.99,0.72,0.66
G,P12,S03,66941,1,P,최애하는데 요즘 머리 탈색을많이해서 머릿결땜에 다른제품쓰지만 향이 좋고 오래가는거 원하신다면 적극추천드랴요,이 향 보다는 체리블러썸쪽 향을 더 선호하는편 샴푸랑 같이 쓰면 향 지속력은 짱인거같아요,아침에 씻고나면 오후까지도 향기가 남아있어요ㅎㅎ그래도 린스다보니 씻고나면 그래도 머릿결이 부들부들하구요저희 동네 마트에선 찾기 힘들었는데ㅠㅠ 힘들여 찾은 보람있는 린스입니당,글고 지속력도 꽤 좋아요,꽃 향기가 은은하게 나서 사용할 때 마다 좋습니다,,,,,
G,P12,S03,66941,0,N,향은,향이,컨디셔너,향기,,2.09,1.3,1.21,0.56,
G,P12,S03,66941,1,N,이것도 향은 좋았지만 좋다고 느끼진 못했어요,너무 답답해서 좋은 향기가 난다고 계속 추궁했더니 혹시 머리 향기냐고 하더라고요그래서 제가 어떻게 컨디셔너 향이 아직까지 남아있는지 말도 안 된다고 생각하면서 맡아봤는데 진짜 충격적인 냄새그리고 바로 사려고 했는데 친자매가 글쎄 이름을 까먹어서 다른 제품을 소개해준 거 있죠,그래서 거의 23년이 지난 지금 사용하네요ㅎㅎ향을 설명하려니까 되게 어려운데 느낌으로 적어보면학교 운동장에서는 한창 반 학생들이 체육을 하고 있고 나랑 내 친구는 아프다고 거짓말해서 반에서 같이 장난치면서 놀고 있어근데 그 나른한 분위기와 바깥에서 들어오는 선선한 바람 그런 분위기에서 날 법한 향이에요,끌로에 향수랑 비슷한데 매력있어요단 손상모의 경우에는 머릿결개선은 조금 아쉬운 부분이 있네요,향은 좋은데 머리말리면 향 다날라감,,,,,
G,P05,S05,150596,0,P,컬러,분위기,립스,,,1.0,1.0,0.68,,
G,P05,S05,150596,1,P,로즈계열의 MLBB 톤 색감이 바르면 바를수록 매력적이라 요런 립 컬러 입문해보고 싶다면 요 립스틱 한 번 테스트해보시는거 추천드려요,,,,,,,,,
G,P05,S05,150596,1,N,파우치에 넣고다니면 꺼낼 때마다 기분 좋게 만들어지는 외관이 저에게는 새롭게 다가왔던거 같아요ㅎㅎ이번 컬렉션의 립 제품은 스무스하게 발리면서  가볍게 밀착되는 특징을 가지고 있는데요,가을겨울에 쓰기 좋은 컬러인데 발림성 뻑뻑하면 진짜 립스틱 바르기 싫잖아요,,,,,,,,
G,P05,S05,154382,1,P,왜케 부드러보송보송 표현할 수 있어서 넘 좋아요,약간 파스텔처럼 표현된다고 해야하나너무 예뻐요,PureLuck 은평소 너무나 좋아하는 파우더키스 립스틱 이여서 얇고 가볍게 발리고 톡톡만 해주면 쉽게 블러립 연출도 가능해서 꼭 소장해야할 립라인 인듯 해요묻어남이 없진 않지만 얇게 밀착되는 제품이라 마스크 쓰는 요즘도 자주 바르게 되더라구요요번에 사용해보게 된 퓨어럭은 약간 핑크빛이 도는 레드 색상인데요쨍하진 않은 레드라 오히려 부담없이 바르기 좋았어요,,,,,,,
G,P05,S05,155352,1,P,데이지크 신상 립 글로우 립 좋아하는 사람 다 모여 요플레 현상없이 촉촉한 립을 연출해주는 데이지크 무드 글로우 립스틱 매끄럽게 발리는 립스틱이며 광택이 입술을 정말 이쁘게 보여주는 제품으로 완전 반해버렸어요,살짝 색깔있는 립밤 보다색상이 진하다 라고 생각하면 좋을 듯 싶어요,,,,,,,,
G,P05,S05,38232,0,P,발색,촉촉한,편하고,발림성,지속력도,2.12,1.96,1.64,1.41,1.12
G,P05,S05,38232,1,P,오토타입이라 편하고 발림성 좋은데립스틱에 비해ㅡ별로 유명하지않은 제품인듯해요,입술 잘트구 각질 많은데 친구가 추천 해준 제품각질 많은데 부각하나도 안되고 인생템 등극함 재구매 의사 백퍼,이쁜 말린 장미색 고급스러운 느낌이고 사용도 편해서 너무 좋아요,진짜 촉촉한데 지속력도 좋고 발색도 너무 좋다완벽하다 가격도 정말 싸다,완전 색깔이쁨 틴드림선물받았는데 겁나코랄오렌지색깔 진짜내가좋아하는색깔임 이거바탕으로바르고 안쪽에 빨간색으로 그라데이션해주면 짱짱이쁨,,,,,
G,P05,S05,38232,0,N,각질,입술,,,,1.85,1.36,,,
G,P05,S05,38232,1,N,틴드림 색상장점 허거블과 비슷한 제형이지만 더 촉촉하고 쫀득한 느낌이 덜함 맑고 물먹은듯한 발색 색이 정말 예쁨 입술색이랑 섞이면 더 예쁨 틴드림은 허거블의 패션포스랑 엄청 비슷한데 더 연한 코랄색단점 너무 무른 제형이라서 각질에 살짝 끼임 지속력 똥망ㅠ 23시간 후에 보면 날라가 있음,고준희가 바른거 보고 너무 이뻐서 샀는데365일 입술이 건조한 저에게는 각질부각 최고네여 사놓고 모셔두고 있어요ㅜㅜ,허거블이랑 비슷한 질감 틴드림 샀는데 너무 흰끼가 돌아 못쓰겠음ㅠㅠ,색상이 생각보다 좀 연하게 발려서 은은한 느낌은 있지만 지속력이 떨어지고 살짝 좀 진한 색상이였으면 더 좋을것 같은 느낌 오토티입이라 편한데 다소 아쉬워요,일본여행갈때 면세점에서 샀는데 진짜 잘산듯 저는 각질이 없어서 잘모르겠는데 각질부각은 없는것 겉아요,,,,,
