SITE_GUBUN,PART_GROUP_ID,PART_SUB_ID,PART_ID,REVIEW_DOC_NO,REVIEW,LABELING,SPLIT_NO
G,P12,S49,122994,RVD-220317-0207278,정말 간편하게 믹스해서 사용할 수 있어서 편한거같아요,"[('기타', '간편'), ('기타', '편하'), ('기타', '편한')]",1
G,P12,S49,122994,RVD-220317-0207278,색도 잘 나오고 좋습니다,[],2
G,P12,S49,122994,RVD-220317-0207277,저렴한 편에 다른 제품들보다 간편하고 색은 나름 잘나오지만 머리털을 개털로 만드는 매직 셀프염색인데 당연한거아니냐라기엔 지금까지 써본 염색약 중 머릿결 제일 안좋게된 제품 중 12위를 다투는,"[('효과', '머릿결'), ('기타', '간편'), ('기타', '편하')]",1
G,P12,S40,98046,RVD-220317-0207270,잔머리가 심한 곱슬머리입니다,[],1
G,P12,S40,98046,RVD-220317-0207270,사실 대한민국의 대부분의 곱슬머리가 컬링이 심하게 지는 곱슬보다는 저 같은 곱슬일텐데 이런 머리엔 맞지 않는것 같아요,[],2
G,P12,S40,98046,RVD-220317-0207270,컬링 곱슬의 컬을 잡아줄 수 있는 리치한 오일 같은 느낌 되게 기름지다는 느낌을 받아서 가격대비 만족도 낮았습니다,[],3
G,P12,S40,98046,RVD-220317-0207270,차라리 국내 브랜드 헤어오일 쓰는게 나을 것 같어요,[],4
G,P12,S40,121657,RVD-220317-0207266,ㅈㅔㅍㅜㅁㅎㅕㅂㅊㅏㄴ ?????????? ?????? ??????????My hair is long  always tangled  plus damaged because i use hair iron and curler so i used alot of oils  but the product i used it has a sticky formulation and I didnt see any difference  but this essence not sticky and its spreads easily Hair essence products often have a strong scent but this serum is good because it has a gentle scent of sweet peach  its a watery oil so you can apply it  lightly it has 9 kinds of oils derived from  nature so it can supply enough nutrients to the hair and makes the dry hair looks shiny ㅋㅓㄹㅣㅅㅟㄹ curlyshyll ㅎㅔㅇㅓㅇㅔㅅㅔㄴㅅㅡ ㅁㅓㄹㅣㅅㄱㅕㄹㅈㅗㅎㅇㅏㅈㅣㄴㅡㄴㅂㅓㅂ ㅎㅔㅇㅓㅅㅔㄹㅓㅁ,[],1
G,P12,S40,140355,RVD-220317-0207263,평가단 당첨돼서 사흘째 사용 중입니다,[],1
G,P12,S40,140355,RVD-220317-0207263,긴 글 싫으시다면 총평만 봐 주세요,[],2
G,P12,S40,140355,RVD-220317-0207263,쓰다 보니까 엄청 길어졌네요 ㅜㅜ,[],3
G,P12,S40,140355,RVD-220317-0207263,220223 총평 푸석푸석한 머릿결 정돈겨울 정전기 제압고데기 시 머리카락 보호 플러스 알파로 좋은 향기까지 얻어갈 수 있는 헤어 오일  제형 헤어 오일하면 딱 떠오르는 제형 있잖아요,"[('탈모', '머리카락'), ('효과', '머릿결'), ('향', '향기')]",4
G,P12,S40,140355,RVD-220317-0207263,그것보다 좀 더 가벼운 제형이에요,[],5
G,P12,S40,140355,RVD-220317-0207263,그래서 그런지 머리에 바르고 나면 손이 끈적이지 않아서 좋았어요,"[('끈적임', '끈적')]",6
G,P12,S40,140355,RVD-220317-0207263,펌프가 같이 딸려와서 양 조절하기도 편했습니다,[],7
G,P12,S40,140355,RVD-220317-0207263,아르보 센스 굿 향 향에 대한 호불호가 강한 편이라 조금 걱정했는데 맡아보니까 제가 좋아하는 향이더라고요 ㅎㅎ 조금 발라도 순식간에 주변에 향기로 가득 차는 발향력 좋은 오일이에요,"[('발림성', '발라'), ('향', '향이'), ('향', '향기')]",8
G,P12,S40,140355,RVD-220317-0207263,독하진 않았어요,[],9
G,P12,S40,140355,RVD-220317-0207263,같이 제공해 주신 팜플렛 읽었을 때는 은은한 꽃향이라고 적혀있었어요,"[('향', '향이'), ('향', '은은한')]",10
G,P12,S40,140355,RVD-220317-0207263,무슨 꽃인지는 모르겠지만 무궁화 꽃수 들어갔다고 하니까 아마 무궁화 향이겠죠,"[('향', '향이')]",11
G,P12,S40,140355,RVD-220317-0207263,다만 제 개인적인 감상으로는 솜사탕 향에 더 가까웠어요,[],12
G,P12,S40,140355,RVD-220317-0207263,올x브영에서 파는 솜사탕 향 바디스프레이 아신다면 바로 이해할 수 있을 것 같아요,[],13
G,P12,S40,140355,RVD-220317-0207263,거기에서 인공적인 향 빼고 우아함이 가미된 달콤하고 화사한 향이에요,"[('효과', '화사'), ('향', '향이')]",14
G,P12,S40,140355,RVD-220317-0207263,단 향 별로 안 좋아하신다면 다른 제품으로 생각하시는 게 좋을 것 같아용 트러블 제가 민감성은 아닌데 유분에 민감한지라 헤어오일 헤어팩 트리트먼트 이런 것도 뭔가 안 맞으면 피부에 뭐가 나거든요,"[('보습력', '유분'), ('효과', '트러블'), ('효과', '민감')]",15
G,P12,S40,140355,RVD-220317-0207263,근데 이건 괜찮았어요,[],16
G,P12,S40,140355,RVD-220317-0207263,기능 제 머리카락은 트리트먼트 후 바로 말려도 사자갈기가 되는 전설의 반곱슬입니다,"[('탈모', '머리카락')]",17
G,P12,S40,140355,RVD-220317-0207263,그럼에도 리커버리 밤 같은 걸 바르면 금세 떡지는 기묘한 머리카락이에요,"[('커버력', '커버'), ('탈모', '머리카락')]",18
G,P12,S40,140355,RVD-220317-0207263,사실 이전에도 아르간 오일이나 헤어팩을 안 해본 건 아닌데 반짝 효과있거나 떡지거나 피부에 뭐 나거나 해서 ㅜㅜ 방황하던 중이었습니다,"[('효과', '효과')]",19
G,P12,S40,140355,RVD-220317-0207263,근데 이번에 오일을 바르니까 좀 진정이 되더라고요 물론 전부 해결이 된 건 아니지만 아무튼 줄타기 하듯이 하루하루마다 사용량을 조금씩 늘리고 있는데 살살펌핑 두번에도 떡지지 않는 걸 보면 조금 더 써도 괜찮을 것 같아요,"[('효과', '진정')]",20
G,P12,S40,140355,RVD-220317-0207263,무엇보다 고데기 하기 전에 챱챱 바를 수 있는 게 좋았어요,[],21
G,P12,S40,140355,RVD-220317-0207263,고데기에 뭐 묻어나지도 않고 사라락 잘 말리는 느낌 완전 짱 직원 아님 손상모까진 아니더라도 저처럼 부스스 대마왕인 머리카락을 가진 분들께 꽤 도움이 될 것 같아서 추천드려요,"[('탈모', '머리카락')]",22
G,P12,S40,140355,RVD-220317-0207263,가격이 좀 걸리지만 일주일 더 써보고 리뷰 수정할게요0317 수정네번 펌핑하면 좀 떡지기 시작하네요,[],23
G,P12,S40,140355,RVD-220317-0207263,저는 살살 세번펌핑에 정착했습니당 여전히 향기가 좋고 계속해서 부스스함을 가라앉혀주고 있어요,"[('향', '향기')]",24
G,P12,S40,140355,RVD-220317-0207263,기존에 헤어 세럼이나 오일이 좀 무거우셨던 분들께 좋을 것 같아요,[],25
G,P12,S40,136606,RVD-220317-0207252,샴푸랑 함께 쓰니 향 지속력이 올라가서 좋네요,"[('지속력', '지속')]",1
G,P12,S40,136606,RVD-220317-0207252,트리트먼트로서의 기능은 평범한데 잦은 파마로 인한 손상모에는 영양이 부족한 듯 합니다,"[('효과', '영양')]",2
G,P12,S16,20573,RVD-220317-0207239,향도 상쾌하듯 좋고 급할때 떡졌을때 뿌리면 엄청 편리하고 좋네요,"[('향', '향도'), ('기타', '편리')]",1
G,P12,S16,20573,RVD-220317-0207239,가끔 흰가루 나오는거빼고는요,[],2
G,P12,S16,20573,RVD-220317-0207237,급할때 좋아요 ㅎㅎ,[],1
G,P12,S16,20573,RVD-220317-0207237,기름기 유난히 올라온 날도 좋고 입원이나 수술했을때도 좋습니다 ㅎㅎ,[],2
G,P12,S16,20573,RVD-220317-0207237,하얀 가루가 기름기를 흡수하는 형식이라 쓰고 잘 털어주셔야하죠 ㅎㅎ,"[('보습력', '흡수')]",3
G,P12,S16,20573,RVD-220317-0207237,저도 쓰고 나서 드라이기로 마무리합니다,[],4
G,P12,S16,148342,RVD-220317-0207235,선물받아서 사용했는데 가렵지도않고  향은 너무 좋고요 단점은  퍽퍽한 꾸덕한제형이라 물을 엄청묻혀서 거품을내야해요ㅜㅜ 짜고나면 그 주변이 보라색으로 물들여잇어요 ㅠㅠ,"[('거품력', '거품'), ('향', '향은')]",1
G,P12,S16,144980,RVD-220317-0207234,묽고 투명한 제형이에요 소량이어도 거품이 풍성하게 잘 나요,"[('거품력', '거품'), ('효과', '풍성')]",1
G,P12,S16,144980,RVD-220317-0207234,단독 사용해도 머리카락이 뻣뻣하지 않고 두피 자극이나 트러블이 없어 좋았어요,"[('탈모', '머리카락'), ('효과', '두피'), ('효과', '자극'), ('효과', '트러블')]",2
G,P12,S16,144980,RVD-220317-0207234,오후에 머리의 기름기도 덜 하고요 유자같은 상큼한 향이 나는데 은은해서 오래가지 않는 점이 좀 아쉽네요,"[('지속력', '오래'), ('향', '향이')]",3
G,P12,S16,144980,RVD-220317-0207234,탈모 완화 효과는 잘 모르겠어요,"[('탈모', '탈모'), ('효과', '효과')]",4
G,P12,S03,40833,RVD-220317-0207232,향너무너무 좋고 거품도 잘나고 이거 세통 정도 쓰다가 넘 비싸서 다른거 써용언젠가는 다시 사쓸것같네요,"[('거품력', '거품')]",1
G,P12,S03,40833,RVD-220317-0207232,원쁠원 행사 이런것 좀 해주세요,[],2
G,P11,S37,81446,RVD-220317-0207221,완전 순하고 따갑거나 간지러운 느낌없이 말끔하게 지워져요,"[('거품력', '지워')]",1
G,P11,S37,81446,RVD-220317-0207221,두 통째 쓰고 있어요 ㅎㅎ,[],2
G,P11,S37,150135,RVD-220317-0207217,이런 살짝 꾸덕한 제형의 클렌징을 처음,[],1
G,P11,S37,150135,RVD-220317-0207217,써봐서 조금은어색 했음,[],2
G,P11,S37,150135,RVD-220317-0207217,사실 며칠 안써봐서 좋은지 안좋은지는 잘 모르겠지만 메이크업은 잘 지워지고 쫀쫀한 느낌도 들긴하네요평소에 풀메하면 눈화장은 어차피 클렌징 오일로 닦아내서클렌징 오일없이 단독으로 마스카라 같은것까지 잘 지워내는지는 모르겠네요,"[('거품력', '지워')]",3
G,P11,S37,150135,RVD-220317-0207217,근데 클렌징 냄새가 조금 별로에요클렌징이 튜브가 아니라 통에 들어있는건 좋았어요,"[('향', '냄새')]",4
G,P11,S37,150135,RVD-220317-0207217,사실 내돈내산 해서 쓸 의사가 있냐고 물어보면 흠 굳이,[],5
G,P11,S37,150135,RVD-220317-0207216,수부지라 블랙헤드 화이트헤드가 많아서늘 클렌징 오일만 쓰다가피부과에서 클렌징밀크로 세안하고서너무 촉촉하고 자극없고 좋길래클렌징밀크 몇가지 써보고 있던 참이었어요써본 클렌징밀크들은 너무 유분기 잔여감이 많거나세정력이 조금 서운하거나 했는데딱 건조하지 않을 정도의 촉촉함에제가 베이스를 진하게 하는 편인데 세정력도 만족스러웠습니다무향인 것도 매력이에용시오리스 처음,"[('보습력', '촉촉'), ('보습력', '유분'), ('거품력', '세정'), ('거품력', '세안'), ('효과', '자극'), ('효과', '블랙헤드'), ('향', '무향')]",1
G,P11,S37,150135,RVD-220317-0207216,들어보는 브랜드인데같이 온 소개책자 보니까 클린뷰티 컨셉에 좋아보이는 제품 많더라구요쓰던 기초 다 쓰면 퍼스트 에세너랑 오미자앰플 사볼까 합니당ㅎㅎ,[],2
G,P11,S37,150135,RVD-220317-0207215,클렌징 크림은 처음이라 뭔가 신기하기도 하고 조금 기대하면서 써봤는데 오일에 익숙해져서 그런지 사용감이 그렇게 좋진 않았어요 ㅠㅠ,[],1
G,P11,S37,150135,RVD-220317-0207215,크림을 얼굴에 자꾸 비비는 느낌이라고 해야되나클렌징이 되는지도 의문이엿구용실제로는 메이크업은 무난하게 거의 지워졌습니당저처럼 2차 세안을 하시는 분들은 괜찮을거 같아요익숙해지면 좀 나을지는 모르겠네요 ㅎㅎ,"[('거품력', '지워'), ('거품력', '세안')]",2
