SITE_GUBUN,PART_GROUP_ID,PART_SUB_ID,PART_ID,KEYWORD_GUBUN,RLT_VALUE_01,RLT_VALUE_02,RLT_VALUE_03,RLT_VALUE_04,RLT_VALUE_05,RLT_VALUE_06,RLT_VALUE_07,RLT_VALUE_08,RLT_VALUE_09,RLT_VALUE_10
G,P05,S06,73251,0,바세린,향이,입술,좋아,각질,7.44,5.98,4.76,3.71,2.91
G,P05,S06,73251,1,향이 너무 좋아서 계속 킁킁거리게되고 크기 가 미니미니해서 너무 귀엽고 가지고 다니기가 간편하다 질감도 만족했다,입술에는 얘 바르고 잠들었다가 아침에 샤워만 해줘도 각질이 알아서 일어나요,자기전에 듬뿍바르고 일어나서 면봉으로 닦으면 입술각질정리에 도움이 돼요,,,,,,,
G,P10,S23,139774,0,오일,있어서,좋았어요,흔들어서,수분,4.53,3.81,2.41,2.22,2.04
G,P10,S23,139774,1,근데 향은 뭐랄까 제 취향은 아니었던게 아쉽네요ㅠㅠ,끈적임도 없어서 진짜 좋았숨다,피부가 말랑말랑 촉촉해졌네여탱탱한 느낌이 들어서 좋았고 자고 일어나니까 기름도 없고 중성적인 피부느낌이 좋았어요,요즘 추워지면서 피부가 건조하고 각질이 일어났는데이거 뿌려주니 기존에 쓰던 토너로 해결이 안된걸 한번에 해결했어요,딱 건조할때 수시로 뿌리기 좋은 기본적인 제품이에요그만큼 제형이 가볍고 미세 분사도 마음에 들구요ㅋ큰 기능성은 기대하긴 어려운 느낌인데 보습은 되는 느낌이고 토너보다는 미스트에 가까운 제품인것 같아서 휴대하고 다닙니다,,,,,
G,P12,S32,105549,0,같아서,뿌리고,시원,마사지,있어요,2.32,2.08,1.64,1.6,1.4
G,P12,S32,105549,1,머리가 덜 떡지는 효과를 기대했지만 그런건 딱히 없는듯,머리카락이 젖은 상태에서 촵촵 뿌려주고 마사지하면 되는 미스트형식의 에센스 뿌리고 난 직후에 쿨링감이 좋다,요즘 두피에 뾰루지가 나기 시작해서 사용하기 시작했는데 뿌리면 두피로 가글한 것처럼 시원한 느낌이 듦보통 쿨링용이라고 하면 자극이 될 것 같은 느낌이 있는데 이건 확실히 시원함을 주면서도 자극은 전혀 없음며칠 꾸준히 쓰니까 가렵고 뭐 나던 게 가라앉음스프레이 식이라 사용하도 편하고 앞으로 꾸준히 쓸 듯,요즘엔 두피에 뽀루지도 나고 기름진머리 관리하기도 힘들어서 ㅠ 뿌리면 청량한  기분이 들고  두피가 마사지하면 시원해서  좋습니다쿨링감도 오래지속되는 느낌이 들어요요거 쓰고 머리가 덜 간지럽긴한데  더 꾸준히 사용해야 뽀루지도 안나고 좋겠죠한통 다쓰고나니 두피가 마니 좋아진 느낌이듭니다,얼굴이랑 바디는 악건성이지만  두피는 지성인데다가 문제성두피여서  요즘 관리하려고  이것저것 사용하고 있는데  르네휘테르를 좋아해서 이번세일때 사보았어요,,,,,
G,P07,S45,99012,0,광이,리틀문,자연스러운,미샤,예쁘게,5.45,2.57,2.11,1.9,1.82
G,P07,S45,99012,1,데일리엔 무리,가격이 좀 비싸다고 생각할 수 있는데 정말 오래쓰고 있어요 ㅎㅎ,근데 너무 많이 발리면 너무 번쩍번쩍한 느낌이라 피부가 살짝 더러워 보여서 별로고 적당히 발라주면 환하게 예뻐용그리고 가끔 귀찮을때 눈 밑 애굣살에 얘 발라줘도 너무 예뻐서 아주 유용하게 사용하고 있습니다,저는 하이라이터를 코쪽에만 바르는데 이거 바르냐 안바르냐의 차이는 꽤 커요 그래서 꼭 발라주려고 합니다,가루날림 별로 없고 고급스러운 광이 나요손이나 브러쉬를 사용해서 바르는데 그냥 고급미 장난 아닙니다,,,,,
G,P08,S46,82452,0,향도,거품,향이,핸드워시,손을,9.26,9.03,5.16,3.06,2.84
G,P08,S46,82452,1,정확히 언제부터인지 기억은 안나지만 학교 다닐 때부터 어렸을때부터 꾸준히 이 제품만 사용하고 있어요,향도 향이지만 건조하지않게 수분감을 유지해준채 세균을 박멸해주기 때문에 남녀노소 사용하기 편하다는걸요,난 파우더향 사실 별로 안좋아하는 편인데 이 향은 좋음,밀도 높고 쫀쫀한 거품이 쉽게 꺼지지 않아 손 씻는 동안 거품이 사라지지 않고 추가 펌핑 필요없이 깨끗하게 씻을수 있다,뽀독뽀독 손 깨끗이 잘 씻겨요,,,,,
G,P09,S22,107592,0,알로에,수딩젤,냉장고에,김정문,바르고,3.92,2.55,2.31,2.29,2.16
G,P09,S22,107592,1,건조한 손에는 금방 흡수되고 얼굴은 서서히 흡수되면서 끈적거림 없이 발림성 좋았어요알로에 성분 얼굴 피부의 울긋불긋이 진정되어 토너 크림 구매 다했어요,여름골프후 얼굴이 화끈거리고벌겋게 열이날때 냉장고에 넣어두었던 슈딩젤을듬뿍 바르고 맛사지 하듯 부드럽게 흡수시켜주면촉촉하고 화기도 없어지고 일석이조 득템입니다,김정문 알로에 큐어 크림과 섞어서 써요피부염여드름으로 고생 중이었는데 이 두 제품 쓰고 많이 가라앉았어요트러블성 피부에 강추합니다많이 기름지거나 건조하지 않아서 좋아요여름에는 단독으로 써도 좋을듯,이거 좋아여진정도 잘되구 흡수도 잘됨트러블이랑 열 오를때 바르고자면 다음날 가라앉아요가격이 사악함,입구는 항상 깨끗하게 쓰시는걸 추천해드려요,,,,,
G,P12,S03,40833,0,향이,좋아,컨디셔너,비욘드,머릿결이,11.18,4.22,3.13,2.66,2.47
G,P12,S03,40833,1,향너무너무 좋고 거품도 잘나고 이거 세통 정도 쓰다가 넘 비싸서 다른거 써용언젠가는 다시 사쓸것같네요,원쁠원 행사 이런것 좀 해주세요,머리헹굴때는향이좋아먹고싶을정도 하지만 다감고 말리면 쉽게사라지는 향이아쉽내요 부드럽고좋긴해요,음 세일 하면 그때 노려서 사볼 의향은 있어요,머릿결도 좋아지고 블루베리 포도 이런향 좋아하시면 고려해볼만한 제품인듯해요,,,,,
G,P12,S32,143759,0,시원,알갱이가,각질,있는데,자극,3.54,2.15,2.04,2.02,1.93
G,P12,S32,143759,1,머리를 충분히 물에 불린후 두피에 한줄로 쭈욱 짜고 손가락으로 마사지하듯이 문질러준후 물로헹구면서 다시 마사지하듯이하면 거품도 나고 따로 샴푸사용하지않아도 좋아요,깨끗하게 사용가능한 용기탈모로 고생하던 와중에 유투버분의 추천템으로 산 제품이에요,향은 미용실향같은게 나는데 나쁘진 않고 좋은 냄새에요 소금같은 작은 알갱이로 두피마사지해주고 씻어내면 되는데 주의할점은 깨끗이 안씻으면 두피에 알갱이 남는다는거에요,,,,,,,
G,P12,S32,149785,0,애플민트,거품도,달리프,스케일,있어서,2.53,2.27,2.05,1.75,1.32
